x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum,OptGrp
-56.184,-332.919,18.000,NaN,NaN,NaN,NaN,vert,straight,S28,D26,neckB
-56.184,-341.919,36.000,NaN,NaN,NaN,NaN,vert,straight,S26,D26,neckB
-47.184,-332.919,25.456,NaN,NaN,NaN,NaN,vert,diagonal,S27,D26,neckB
-47.184,-341.919,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S25,D26,neckB
-47.184,-332.919,25.456,NaN,NaN,NaN,NaN,vert,antidiag,S28,D25,neckB
-47.184,-341.919,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S26,D25,neckB
-31.820,-19.092,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S02,D02,head
-31.820,-31.820,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D04,head
-31.820,-44.548,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S02,D06,head
-31.820,-57.276,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S02,D07,head
-31.820,-70.004,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D08,head
-19.092,-6.364,54.000,NaN,NaN,NaN,NaN,hori,antidiag,S02,D01,head
-19.092,-19.092,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S02,D03,head
-19.092,-31.820,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S02,D05,head
-19.092,-44.548,54.000,NaN,NaN,NaN,NaN,hori,diagonal,S02,D11,head
-19.092,-57.276,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S02,D13,head
-19.092,-70.004,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S02,D15,head
-19.092,-82.731,120.748,NaN,NaN,NaN,NaN,vert,diagonal,S02,D17,head
-6.364,-19.092,64.900,NaN,NaN,NaN,NaN,hori,antidiag,S02,D09,head
-6.364,-31.820,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S02,D10,head
-6.364,-44.548,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S02,D12,head
-6.364,-57.276,90.000,NaN,NaN,NaN,NaN,hori,diagonal,S02,D14,head
-6.364,-70.004,109.490,NaN,NaN,NaN,NaN,vert,diagonal,S02,D16,head
-31.820,-31.820,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S04,D02,head
-31.820,-44.548,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S04,D04,head
-31.820,-57.276,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S04,D06,head
-31.820,-70.004,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S04,D07,head
-31.820,-82.731,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S04,D08,head
-19.092,-19.092,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S04,D01,head
-19.092,-31.820,54.000,NaN,NaN,NaN,NaN,hori,antidiag,S04,D03,head
-19.092,-44.548,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S04,D05,head
-19.092,-57.276,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S04,D11,head
-19.092,-70.004,54.000,NaN,NaN,NaN,NaN,hori,diagonal,S04,D13,head
-19.092,-82.731,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S04,D15,head
-19.092,-95.459,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S04,D17,head
-6.364,-31.820,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S04,D09,head
